index,MainBranch,Employment,Country,Age1stCode,LearnCode,YearsCode,LanguageHaveWorkedWith,Age,Gender
0,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Slovakia,18 - 24 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc)",,C++;HTML/CSS;JavaScript;Objective-C;PHP;Swift,25-34 years old,Man
1,I am a student who is learning to code,"Student, full-time",Netherlands,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",7,JavaScript;Python,18-24 years old,Man
2,"I am not primarily a developer, but I write code sometimes as part of my work","Student, full-time",Russian Federation,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",,Assembly;C;Python;R;Rust,18-24 years old,Man
3,I am a developer by profession,Employed full-time,Austria,11 - 17 years,,,JavaScript;TypeScript,35-44 years old,Man
4,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Friend or family member,17,Bash/Shell;HTML/CSS;Python;SQL,25-34 years old,Man
5,I am a student who is learning to code,"Student, part-time",United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",,C;C#;C++;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;Swift,18-24 years old,Prefer not to say
6,I code primarily as a hobby,I prefer not to say,United States of America,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",3,HTML/CSS;JavaScript,Prefer not to say,Prefer not to say
817,I am a developer by profession,Employed full-time,United States of America,25 - 34 years,School,14,Bash/Shell;R,25-34 years old,Man
818,I am a developer by profession,Employed full-time,Poland,11 - 17 years,Other (please specify):,21,Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js,25-34 years old,Man
819,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Other (please specify):,36,Bash/Shell;HTML/CSS;Java;JavaScript;SQL,45-54 years old,Man
820,I am a developer by profession,Employed full-time,Nigeria,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",9,Assembly;C;C++;Go;HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript,18-24 years old,Man
821,I am a developer by profession,Employed full-time,France,11 - 17 years,Online Forum;Online Courses or Certification,9,C;C#;C++;HTML/CSS;Java;JavaScript;Python;R;SQL;VBA,25-34 years old,Man
